統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,07301,2627,百萬美元,1056,新臺幣億元
外銷訂單金額,07302,2321,百萬美元,933,新臺幣億元
外銷訂單金額,07303,2821,百萬美元,1129,新臺幣億元
外銷訂單金額,07304,2797,百萬美元,1112,新臺幣億元
外銷訂單金額,07305,2879,百萬美元,1142,新臺幣億元
外銷訂單金額,07306,2759,百萬美元,1098,新臺幣億元
外銷訂單金額,07307,2776,百萬美元,1094,新臺幣億元
外銷訂單金額,07308,2741,百萬美元,1070,新臺幣億元
外銷訂單金額,07309,2507,百萬美元,980,新臺幣億元
外銷訂單金額,07310,2568,百萬美元,1006,新臺幣億元
外銷訂單金額,07311,2534,百萬美元,997,新臺幣億元
外銷訂單金額,07312,2446,百萬美元,965,新臺幣億元
外銷訂單金額,07401,2599,百萬美元,1020,新臺幣億元
外銷訂單金額,07402,2279,百萬美元,893,新臺幣億元
外銷訂單金額,07403,2841,百萬美元,1122,新臺幣億元
外銷訂單金額,07404,2630,百萬美元,1044,新臺幣億元
外銷訂單金額,07405,2780,百萬美元,1100,新臺幣億元
外銷訂單金額,07406,2551,百萬美元,1016,新臺幣億元
外銷訂單金額,07407,2596,百萬美元,1041,新臺幣億元
外銷訂單金額,07408,2650,百萬美元,1072,新臺幣億元
外銷訂單金額,07409,2524,百萬美元,1020,新臺幣億元
外銷訂單金額,07410,2776,百萬美元,1115,新臺幣億元
外銷訂單金額,07411,2683,百萬美元,1071,新臺幣億元
外銷訂單金額,07412,2828,百萬美元,1127,新臺幣億元
外銷訂單金額,07501,3120,百萬美元,1235,新臺幣億元
外銷訂單金額,07502,2487,百萬美元,975,新臺幣億元
外銷訂單金額,07503,3288,百萬美元,1282,新臺幣億元
外銷訂單金額,07504,3226,百萬美元,1246,新臺幣億元
外銷訂單金額,07505,3477,百萬美元,1334,新臺幣億元
外銷訂單金額,07506,3336,百萬美元,1271,新臺幣億元
外銷訂單金額,07507,3521,百萬美元,1341,新臺幣億元
外銷訂單金額,07508,3589,百萬美元,1340,新臺幣億元
外銷訂單金額,07509,3448,百萬美元,1270,新臺幣億元
外銷訂單金額,07510,3915,百萬美元,1433,新臺幣億元
外銷訂單金額,07511,3872,百萬美元,1408,新臺幣億元
外銷訂單金額,07512,3863,百萬美元,1389,新臺幣億元
外銷訂單金額,07601,3799,百萬美元,1339,新臺幣億元
外銷訂單金額,07602,3769,百萬美元,1319,新臺幣億元
外銷訂單金額,07603,4286,百萬美元,1484,新臺幣億元
外銷訂單金額,07604,4650,百萬美元,1539,新臺幣億元
外銷訂單金額,07605,4495,百萬美元,1451,新臺幣億元
外銷訂單金額,07606,4665,百萬美元,1453,新臺幣億元
外銷訂單金額,07607,4644,百萬美元,1443,新臺幣億元
外銷訂單金額,07608,4530,百萬美元,1344,新臺幣億元
